Y2000,HYZR,LSR,LYZR,MYZR,NCR,UYZR
Glaciers and snow,853.131582554682,185.026136428956,963.387866102705,360.630356521121,282.435150418668,175.359941441496
Cultivated land,132.260635875341,406.253038680969,202.977946631702,654.960981759807,936.388939560099,587.205289626952
Forest land,34.3271879371115,1220.77026969974,11292.0368121179,563.547715900693,49.6033059875079,65.1336925354128
Grass land,44027.6473988693,17427.6520133165,14999.1613996053,15271.0381053874,11773.1928292799,37871.7350105137
Water body,473.513268897214,207.148826654158,295.883275438252,452.043622380235,192.33934974748,593.217630476375
Urban land,1.00962317462093,46.2565341072391,2.01968106101196,37.168031173486,26.320121544392,5.0102840411856
Unused land,4217.19600039161,6107.8736558124,10663.9160021431,2665.04828927725,1099.37123066191,4618.47982916488
